Asiakasnro;Y-tunnus;Toimijan nimi1;Toimijan nimi2;TKohdenro;Kohde;Lahiosoite;Postitmp;Toimintaluokka;Toimintaluokan nimi;Toimintatyyppi;Toimintatyypin nimi;Asiakaspaikkojen määrä;Toiminnan aloitus pvm;
4906;1891176-9;Uunilintu Oy;;7288;Ravintola Kattohaikara;Työpajankatu 10 A;00580 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.10;Ravintolatoiminta;221;16.08.2011;
3356;0732808-4;Ravintola Kuu Oy;;4642;Ravintola Kuu;Töölönkatu 27;00260 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.10;Ravintolatoiminta;100;11.08.1992;
19604;2827743-1;Nuredin Oy;;35142;Tikke Kebab Grill;Kontulankaari 1 B 6 C;00940 Helsinki;E1008;ElintarvikkeidenTarjoilu;E1008.10;Ravintolatoiminta;24;;
4713;1053981-9;Simon Pang Oy;;6874;Quick Wok;Aleksis Kiven katu 12;00500 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.10;Ravintolatoiminta;10;05.09.2011;
11702;2332503-5;Copas y Tapas Oy;;17839;Ravintola Copas y Tapas;Fabianinkatu 16;00100 Helsinki;E1008;ElintarvikkeidenTarjoilu;E1008.10;Ravintolatoiminta;49;07.09.2011;
4737;0212329-0;Sokotel Oy;;12286;Sokos Hotel Pasila / Sevilla;Maistraatinportti 3;00240 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.10;Ravintolatoiminta;228;01.04.2008;
4737;0212329-0;Sokotel Oy;;6985;Sokos Hotel Pasila / Ravintola Pasila;Maistraatinportti 3;00240 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.10;Ravintolatoiminta;250;14.06.1985;
11729;2424995-1;Omantra Oy;;17884;Ravintola Mantra;Laivalahdenkaari 42;00810 Helsinki;E1008;ElintarvikkeidenTarjoilu;E1008.10;Ravintolatoiminta;120;14.09.2011;
11639;2420334-7;Finnball Oy; c/o Badwal Balram;17742;Sportsbar Töölö;Mannerheimintie 98;00250 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.10;Ravintolatoiminta;100;15.09.2011;
3576;2057986-5;A.Hossain Oy;;4869;Ravintola Gandi;Toivonkatu 1-3;00250 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.10;Ravintolatoiminta;60;07.12.2006;
11738;2426059-5;Sri Khanda Oy;;17909;Ravintola Annapurna;Fredrikinkatu 23;00120 Helsinki;E1008;ElintarvikkeidenTarjoilu;E1008.10;Ravintolatoiminta;64;19.09.2011;
17482;2664339-7;Derin oy;;34995;Shishkebab;Keinulaudankuja 4;00940 Helsinki;E1008;ElintarvikkeidenTarjoilu;E1008.10;Ravintolatoiminta;54;14.02.2017;
